Crop,desc,ph,image_url
Banana,A banana plantation is a commercial agricultural facility found in tropical climates where bananas are grown,5.5–6.5,images/banana.png
Sugarcane,Sugarcane or sugar cane refers to several species and hybrids of tall perennial grass in the genus Saccharum tribe Andropogoneae that are used for sugar production,6.5–7.5,images/sugarcane.png
Sweet potato,The sweet potato or sweetpotato is a dicotyledonous plant that belongs to the bindweed or morning glory family Convolvulaceae,6.0–6.5,images/sweetpotato.png
Sannhamp,Crotalaria juncea known as brown hemp Indian hemp Madras hemp or sunn hemp is a tropical Asian plant of the legume family.It is generally considered to have originated in India,5.0–8.4,images/sannhamp.png
Arcanut (Processed),The arecanut palm is the source of common chewing nut popularly known as betel nut or Supari,5.2–7.0,images/arcanutprocessed.png
Arcanut (Raw),The arecanut palm is the source of common chewing nut popularly known as betel nut or Supari,5.2–7.0,images/arcanutraw.pn
Brinjal,Brinjal or Eggplant is an important crop of sub tropics and tropics.The name brinjal is popular in Indian subcontinents,5.5–6.6,images/brinjal.png
Citrus Fruit,The major citrus fruits grown in Punjab are mandarin sweet orange grapefruit lime and lemon.Mandarins are of major economic significance followed by oranges.Grapefruits limes and lemons are of minor importance,6.0–7.0,images/citrusfruit.png
Grapes,A grape is a fruit botanically a berry of the deciduous woody vines of the flowering plant genus Vitis,5.5–6.5,images/grapes.png
Mango,Mango (Mangifera indica L) belonging to Family Anacardiaceae is the most important commercially grown fruit crop of the country.It is called the king of fruits.India has the richest collection of mango cultivars,5.5–7.5,images/mango.png
Other Fresh Fruits,The major varieties under Other Fresh Fruit products are as follows:Mangoes Grapes Apple Lal Ambri Banana Guava Papaya Sapopta Lichi,5.4–6.2,images/otherfreshfruits.png
Papaya,Papaya (Carica papaya) is a tropical fruit having commercial importance because of its high nutritive and medicinal value,5.5–6.5,images/papaya.png
Pome Fruit,The best-known example of a pome is the apple.Other examples of plants that produce fruit classified as a pome are Cotoneaster Crataegus medlar pear Pyracantha quince rowan loquat toyon and whitebeam,6.0–6.5,images/pomefruit.png
Tomato,The tomato is the edible berry of the plant Solanum lycopersicum commonly known as a tomato plant,5.5-7.5,images/tomato.png
Urad,Black gram (Vigna Mungo L) is popularly known as “Urad” is one of the most important pulses crop grown across India,6.5–7.8,images/urad.png
Cashewnut,The true fruit of the cashew tree is a kidney– or boxing-glove–shaped drupe that grows at the end of the cashew apple,5.5–7.5,images/cashewnut.png
Tobacco,By far the most common tobacco in use today is the species Nicotiana tabacum (Solanaceae) with occasional local usage of Nicotiana rustica Nicotiana glauca and Nicotiana nepalensis.The Nicotiana genus has approximately 75 species and polyploidy is common,5.8–6.2,images/tobacco.png
Cowpea(Lobia),The cowpea is an annual herbaceous legume from the genus Vigna.Due to its tolerance for sandy soil and low rainfall it is an important crop in the semiarid regions across Africa and Asia,5.6–6.0,images/cowpea.png
Black pepper,Black pepper is a flowering vine in the family Piperaceae cultivated for its fruit known as a peppercorn which is usually dried and used as a spice6,5.5–6.5,images/blackpepper.png
Dry ginger,Ginger is a flowering plant whose rhizome ginger root or ginger is widely used as a spice and a folk medicine,6.0–6.5,images/dryginger.png
Paddy,Paddy also called rice paddy small level flooded field used to cultivate rice in southern and eastern Asia,5.5–7.0,images/paddy.png
Peas & beans (Pulses),Peas are generally round while beans have a wider variety of shapes.Color also varies considerably with non-pea beans,6.0–6.5,images/peasandbeans.png
Potato,Potato (Solanum tuberosum) is the most important food crop of the world.Potato is a temperate crop grown under subtropical conditions in India,5.3–6.0,images/potato.png
Ragi,Eleusine coracana or finger millet also known as ragi in India kodo in Nepal is an annual herbaceous plant widely grown as a cereal crop in the arid and semiarid areas in Africa and Asia,4.5–7.5,images/ragi.png
Tapioca,Tapioca (Manihot esculenta) is a Euphorbiaceous woody shrub native to South America cultivated extensively as an annual crop in tropical region for its edible starchy tuberous roots,5.5–7.0,images/tapioca.png
Beans & Mutter(Vegetable),The Fabaceae or Leguminosae (commonly known as the legume pea or bean) family is the third largest family of flowering plants consisting of over 20000 species,5.5–7.0,images/beansandmutter.png
Cashewnut Processed,The true fruit of the cashew tree is a kidney– or boxing-glove–shaped drupe that grows at the end of the cashew apple,5.5–7.5,images/cashewnutprocessed.png
Cashewnut Raw,The true fruit of the cashew tree is a kidney– or boxing-glove–shaped drupe that grows at the end of the cashew apple,5.5–7.5,images/cashewnutraw.png
Cardamom,Cardamom ( Elettaria cardamomum L) popularly known as Queen of Spices is native to the evergreen rainy forests of Western Ghats in South India,5.5–6.5,images/cardamom.png
